Attendance,Study Hours,Homework Completion,Test Scores,SES,Extracurricular Activities,Parent Involvement,Tutoring,Sleep Hours,Health Conditions,Final Grade
93,26,98,86,Low,3,Medium,Yes,8,None,78.5
76,19,92,96,Middle,0,Medium,Yes,7,Mild,70.15
80,30,90,82,Low,1,Medium,No,9,Severe,63.099999999999994
95,11,79,56,Low,0,Low,No,7,None,54.349999999999994
75,21,92,93,Low,3,High,Yes,7,Severe,72.55000000000001
96,24,94,98,Middle,4,Medium,Yes,6,Severe,74.4
75,18,80,80,Low,3,High,No,8,None,69.5
78,28,89,93,Low,0,Low,No,7,Severe,63.30000000000001
79,29,99,87,Middle,3,High,No,9,Mild,78.95
71,30,88,90,High,1,Medium,Yes,6,Severe,69.30000000000001
86,25,84,52,Middle,4,Medium,No,6,None,58.85
94,19,96,78,Middle,2,Medium,No,9,Mild,68.15
94,25,97,86,Low,2,Medium,No,7,None,70.25
80,26,97,77,Low,2,Medium,Yes,9,None,70.0
100,13,97,64,Low,4,High,No,7,Mild,69.85000000000001
85,25,97,67,High,4,High,No,7,Severe,70.75
87,14,79,87,Low,2,High,No,8,Severe,64.8
73,25,80,90,High,2,Medium,Yes,9,Severe,68.85
87,22,88,91,High,4,High,No,8,Mild,82.8
78,24,81,64,High,4,Low,Yes,6,None,68.0
95,22,89,84,Middle,1,High,Yes,7,Severe,70.5
88,20,94,66,Middle,1,Medium,Yes,8,Severe,61.2
100,27,86,57,High,2,Low,No,6,Severe,61.05
78,15,94,90,High,2,High,No,9,Severe,72.15
89,15,89,91,High,2,Low,Yes,6,Severe,69.65
98,12,99,75,Middle,2,Medium,Yes,6,Mild,67.9
91,20,91,97,Middle,2,High,Yes,9,Severe,75.5
72,17,92,78,Middle,1,High,Yes,6,None,68.44999999999999
98,15,75,79,Middle,2,Low,No,8,Severe,59.05
93,15,96,78,Middle,1,High,No,9,Mild,71.95
84,12,79,85,Middle,0,Medium,Yes,7,None,64.1
75,11,91,56,Middle,4,Low,No,7,None,55.75
97,24,95,61,Middle,1,Low,No,7,Mild,62.7
75,23,75,52,Middle,3,Low,Yes,7,None,57.35
93,12,82,97,Low,4,Low,No,7,None,70.1
81,19,92,73,Middle,2,High,No,7,None,66.25
75,12,93,100,Low,2,High,Yes,6,Severe,69.6
85,28,93,80,Middle,2,High,Yes,7,Severe,69.6
97,26,79,55,Low,4,Low,Yes,9,None,66.2
78,29,75,58,Middle,1,High,Yes,6,None,63.25
94,16,80,93,Middle,0,Low,No,6,None,66.69999999999999
72,19,77,88,Middle,0,Medium,No,6,Severe,55.949999999999996
79,10,84,82,High,2,Low,Yes,8,Severe,64.7
76,10,75,79,High,2,Low,Yes,7,Severe,59.400000000000006
94,11,94,63,High,3,High,No,6,Mild,72.25
93,12,78,59,High,0,High,Yes,7,Mild,67.9
92,18,76,56,High,2,High,Yes,9,None,69.9
87,29,89,51,Middle,4,Low,No,8,Mild,62.75
85,26,81,66,Low,0,Medium,Yes,8,None,64.5
77,27,92,65,High,3,High,Yes,8,Mild,78.05
85,21,83,67,High,2,Medium,No,9,None,65.95
75,24,80,84,High,0,Low,Yes,7,None,70.2
80,23,87,80,Low,4,Medium,No,6,Severe,61.150000000000006
86,16,80,92,High,4,Medium,No,6,Severe,67.8
86,24,84,75,Middle,0,High,Yes,7,Severe,65.5
90,19,97,71,Low,1,High,No,9,Severe,65.45
84,21,79,81,Low,1,Medium,Yes,7,Severe,60.150000000000006
81,14,85,54,Middle,2,Medium,No,7,Severe,47.900000000000006
84,12,91,95,Middle,2,Low,Yes,8,Mild,71.5
94,13,80,92,Middle,3,High,Yes,9,None,78.64999999999999
90,10,83,81,Middle,2,High,No,8,None,68.4
85,10,79,82,Middle,0,Medium,No,9,Mild,61.89999999999999
84,22,80,82,High,2,High,Yes,7,Severe,70.89999999999999
76,26,84,53,High,4,Medium,Yes,9,Mild,67.4
76,12,86,75,High,2,Medium,Yes,7,Mild,65.9
100,12,91,98,Low,0,Low,Yes,7,Mild,73.6
83,12,81,59,Middle,1,High,No,8,Mild,60.5
79,22,93,73,High,2,High,No,9,Mild,73.80000000000001
90,10,94,99,High,0,High,Yes,7,Mild,82.0
86,21,93,80,Middle,4,High,No,6,Severe,68.05
77,12,75,57,Middle,2,High,Yes,8,Severe,55.5
84,23,84,83,Middle,1,Low,Yes,9,Severe,64.25
82,13,79,73,High,4,High,Yes,9,Mild,75.35
99,13,76,67,High,0,High,No,7,Severe,63.349999999999994
88,14,99,63,Middle,3,Medium,No,8,Mild,64.80000000000001
74,12,77,51,High,3,Medium,Yes,6,Severe,54.5
87,27,100,80,High,3,Medium,No,8,None,78.15
70,25,93,96,Low,3,Low,Yes,8,Mild,75.65
91,28,77,86,High,4,Medium,Yes,8,Mild,79.4
99,12,86,64,Middle,4,Medium,No,8,None,64.2
79,19,90,58,High,1,Medium,No,6,Mild,60.949999999999996
79,11,87,90,Low,4,High,Yes,6,Mild,73.95
99,25,91,97,High,4,Medium,Yes,9,Mild,86.35
75,28,81,75,Middle,4,Low,Yes,6,None,66.7
76,28,89,67,High,2,Medium,No,8,Severe,62.099999999999994
75,18,84,96,Low,1,High,Yes,8,Severe,70.1
92,16,88,92,High,2,Medium,Yes,9,Mild,77.6
75,28,98,63,High,2,Low,Yes,7,None,68.5
93,10,89,77,Low,1,Medium,Yes,9,Mild,67.0
71,29,81,68,Low,0,Low,No,8,Mild,60.050000000000004
95,19,75,87,High,0,Low,Yes,7,None,72.85
99,21,85,66,Middle,3,High,Yes,7,Mild,72.85
73,14,86,94,Middle,2,Low,Yes,8,None,68.5
74,27,76,58,High,1,Low,No,8,Mild,61.15
87,14,78,72,Middle,1,Low,No,6,Severe,53.099999999999994
81,11,77,64,Middle,0,Medium,Yes,8,Mild,58.55
94,14,92,56,Middle,1,High,No,6,Severe,57.5
80,27,90,93,High,1,Low,Yes,9,None,78.65
88,24,78,56,High,4,Low,No,8,Mild,66.0
91,21,90,61,Low,4,Low,No,9,Mild,64.75
83,17,76,86,Low,3,Low,Yes,9,Mild,69.85000000000001
82,26,78,70,Low,0,Low,Yes,8,None,64.5
92,30,100,72,High,1,High,Yes,6,None,80.5
74,18,87,69,High,1,Medium,No,7,Mild,62.400000000000006
99,28,77,52,Middle,4,Medium,No,6,Severe,55.800000000000004
92,23,91,50,Low,0,Medium,No,9,None,59.35
81,20,77,74,Middle,4,Medium,No,7,Mild,61.8
81,26,76,76,High,2,Medium,No,7,Mild,65.7
81,19,90,74,High,4,High,No,6,None,74.15
98,12,88,57,High,0,Low,Yes,6,Severe,60.3
74,30,99,68,High,4,High,No,7,Mild,75.5
97,21,86,53,Middle,0,Low,No,8,None,59.75
89,19,76,52,Middle,0,Medium,No,6,None,53.35
94,12,82,71,Middle,0,Low,Yes,8,Severe,59.5
74,18,93,79,Middle,3,Medium,Yes,6,Severe,62.60000000000001
71,30,80,68,Low,0,Low,No,8,Mild,60.1
84,17,78,76,Middle,4,High,No,7,Severe,62.45
78,10,88,97,Middle,1,Medium,Yes,8,Severe,64.8
89,17,87,52,Middle,1,High,No,7,None,60.050000000000004
77,29,94,98,Middle,3,Medium,Yes,7,None,76.85
75,13,80,81,Low,1,Medium,Yes,6,Severe,56.55
91,27,86,66,High,3,High,No,7,Severe,69.95
88,28,87,99,High,3,Low,Yes,8,Severe,79.7
90,21,86,54,High,3,Medium,No,8,None,66.65
86,15,82,71,Low,3,Low,Yes,9,Severe,61.650000000000006
76,18,77,97,Middle,1,High,No,8,Severe,66.2
95,17,82,98,High,3,Medium,No,9,Severe,74.05000000000001
93,19,91,76,Low,0,Medium,Yes,7,None,67.35
75,29,98,85,Low,4,High,No,9,Severe,72.35
95,29,86,84,High,4,High,No,8,None,83.65
95,18,95,86,High,4,Medium,No,7,None,76.3
89,29,92,99,Low,3,Medium,No,9,None,78.15
88,22,85,67,Middle,3,High,No,8,Severe,65.2
79,28,76,62,Low,4,Low,No,8,None,61.599999999999994
79,14,91,99,High,2,High,Yes,6,Mild,80.2
96,30,99,87,Middle,4,Low,Yes,7,None,78.6
75,22,80,61,High,4,High,No,6,None,67.8
99,15,86,84,Low,0,High,Yes,9,Severe,70.95
84,23,79,86,Middle,3,Low,Yes,9,Severe,67.15
76,18,86,80,High,4,Medium,Yes,7,Mild,71.9
72,14,98,93,High,2,Low,No,8,Severe,67.4
94,30,77,54,Low,3,High,Yes,6,Mild,68.9
89,17,80,97,Middle,2,Low,No,7,Mild,67.14999999999999
71,28,89,73,Low,2,Medium,No,9,None,62.9
91,30,96,57,High,3,Medium,Yes,8,Mild,75.0
86,24,82,74,High,4,Low,Yes,6,Severe,67.8
82,22,98,84,Low,1,Medium,Yes,8,Mild,71.7
97,30,86,74,Low,4,High,Yes,7,Severe,72.3
81,23,85,53,Middle,2,Medium,No,9,None,56.85
92,26,87,85,Middle,0,Medium,No,8,Severe,64.80000000000001
95,11,99,57,Middle,3,Medium,Yes,6,None,64.64999999999999
92,30,84,52,High,1,High,No,7,Severe,63.30000000000001
84,27,93,92,Middle,4,Medium,Yes,9,Severe,72.75
76,24,75,94,High,0,Low,No,6,Severe,64.4
71,24,75,56,Middle,3,Low,No,9,Mild,57.0
87,17,85,72,Middle,0,Medium,No,6,None,60.25
96,30,94,53,Low,1,Low,Yes,8,None,66.4
82,17,80,55,High,2,Low,No,7,Severe,53.150000000000006
89,16,97,87,Middle,2,High,No,8,Mild,74.3
71,18,93,86,Low,3,Medium,No,7,Mild,66.10000000000001
78,20,94,60,Low,3,Medium,Yes,6,Severe,58.400000000000006
83,11,90,53,Low,0,Medium,Yes,6,Mild,56.25
86,17,93,98,High,1,High,No,8,Mild,81.44999999999999
93,19,90,56,Low,3,Low,Yes,7,Mild,64.15
94,10,77,68,Middle,3,Low,Yes,6,Mild,63.1
79,10,92,62,Middle,1,High,No,9,Mild,62.3
85,15,78,71,Low,3,Medium,No,8,Mild,62.650000000000006
79,22,79,56,Middle,2,Low,No,9,Mild,55.900000000000006
86,28,99,71,High,3,High,No,6,Severe,73.3
76,13,94,74,Middle,4,High,No,7,Severe,62.45
72,12,88,72,Low,0,Low,No,8,Mild,58.599999999999994
82,17,82,62,Low,2,High,Yes,7,Severe,58.650000000000006
78,30,90,66,Low,3,High,Yes,8,Mild,73.9
82,27,89,63,Middle,4,Low,No,9,Severe,59.849999999999994
84,29,85,63,High,4,Low,No,6,Severe,62.94999999999999
76,17,76,97,High,1,Medium,Yes,7,Mild,71.75
99,22,86,72,Low,4,Medium,No,9,Mild,69.1
95,27,83,62,Low,0,High,Yes,8,Mild,70.95
98,23,89,71,Middle,3,High,Yes,7,Mild,75.45
89,30,79,90,Middle,0,Medium,No,9,Mild,70.1
91,30,92,76,Low,2,Low,No,9,None,68.9
89,24,92,82,Low,2,High,Yes,8,Mild,76.8
86,16,86,99,Low,4,Low,No,8,Severe,68.1
98,19,81,71,Middle,2,High,No,9,None,68.85
83,17,81,96,High,0,Medium,Yes,8,Severe,70.85
96,28,79,71,Low,2,Medium,No,7,None,63.3
80,22,92,85,High,2,High,No,7,None,75.4
76,23,92,61,Low,4,High,Yes,8,Severe,65.65
71,17,92,62,Middle,4,Medium,Yes,9,None,63.45
98,18,97,54,Low,3,Low,Yes,8,Severe,62.7
72,12,84,78,High,1,High,No,6,Mild,67.6
86,14,90,78,Middle,2,Low,No,9,Severe,59.099999999999994
81,11,82,90,Low,3,High,Yes,6,Mild,73.35
90,18,78,89,Middle,0,High,Yes,9,Severe,69.8
75,25,99,83,High,4,Low,Yes,8,None,78.94999999999999
79,18,95,95,Middle,4,Low,Yes,7,Mild,73.8
92,27,89,76,Middle,2,Low,No,8,Mild,67.75
92,30,89,72,High,0,Low,No,8,Mild,72.3
75,16,84,81,Middle,1,Medium,No,7,Severe,55.099999999999994
77,21,96,67,Low,0,Low,No,9,Severe,56.95
94,11,76,65,Low,3,High,Yes,7,Mild,67.25
70,25,98,59,Low,0,Low,Yes,9,Mild,62.55
95,11,93,70,Low,1,Low,Yes,6,None,64.35
87,27,92,62,High,3,High,Yes,8,Mild,79.15
88,11,77,69,Low,0,High,No,9,Severe,58.45
70,12,75,76,High,0,High,No,6,Severe,59.8
91,24,75,90,Middle,1,Low,Yes,7,Mild,69.2
79,11,91,90,Low,1,Low,Yes,8,None,68.75
96,27,75,97,Low,4,Low,No,9,Severe,70.05
73,10,100,57,High,4,Medium,Yes,8,None,67.2
79,30,95,61,Low,2,High,Yes,7,Mild,68.6
94,21,100,70,High,0,High,Yes,9,Mild,80.05
99,16,97,67,Middle,0,Low,No,7,Severe,58.3
73,22,85,81,Middle,3,Low,No,8,Severe,61.400000000000006
96,24,90,57,Low,4,Medium,No,8,None,65.3
87,16,93,56,Low,3,Medium,Yes,8,None,64.8
92,16,84,90,Middle,2,High,No,7,Mild,71.2
75,17,95,92,Middle,1,Medium,Yes,6,Mild,68.85
100,19,97,92,Middle,0,Medium,No,7,Mild,71.75
91,13,75,61,Low,3,High,Yes,7,Severe,60.75
84,28,77,74,Middle,4,Medium,No,8,Severe,61.400000000000006
74,16,86,99,High,3,High,No,6,Mild,78.7
99,25,76,96,Low,1,High,Yes,9,Severe,75.05
98,23,88,96,Middle,0,Low,Yes,7,Mild,74.75
78,14,77,58,High,1,Low,No,6,Mild,56.9
87,22,98,91,Low,1,Medium,Yes,7,Severe,67.8
80,24,98,58,Low,1,Low,No,8,Mild,61.0
71,25,88,54,High,0,Low,Yes,7,Severe,57.25
91,22,85,88,Middle,4,High,No,6,Mild,75.1
92,12,98,69,High,4,High,Yes,8,Severe,74.7
75,15,81,56,Low,3,Low,Yes,7,None,57.75
77,29,92,85,High,4,Low,No,9,None,76.55
97,17,82,52,Middle,4,Medium,No,8,Severe,55.650000000000006
92,25,78,90,Low,3,Low,No,6,None,70.25
81,29,80,76,High,1,High,Yes,6,Mild,75.25
70,30,93,93,Low,2,Low,No,7,None,68.0
72,28,89,85,High,4,Low,No,8,Severe,69.7
77,22,86,69,Low,0,Medium,Yes,9,None,63.8
74,12,91,69,High,2,Low,No,9,Mild,63.7
97,23,76,75,Middle,4,Low,Yes,7,None,68.85
99,10,87,76,Middle,4,High,No,7,Severe,65.5
70,30,92,70,Middle,1,High,No,6,Severe,60.900000000000006
70,20,88,67,Middle,1,Medium,Yes,9,Mild,61.7
85,18,93,100,Low,2,Medium,Yes,8,None,75.1
80,15,82,80,High,4,Medium,Yes,9,Mild,73.15
72,10,85,77,Low,4,Low,Yes,7,Severe,58.0
98,23,93,60,High,2,Medium,Yes,6,None,69.95
82,12,92,64,Middle,1,Low,Yes,6,Severe,55.0
89,29,99,71,High,2,Low,No,8,Mild,73.15
98,16,98,64,High,3,Low,No,8,Mild,72.4
91,14,90,77,Low,2,Medium,Yes,7,Mild,65.8
88,18,82,99,High,1,Medium,No,8,Severe,70.2
94,23,91,63,Low,1,High,Yes,8,Severe,66.65
87,30,92,63,High,1,High,No,8,Severe,69.2
75,17,97,75,Middle,4,Medium,Yes,7,Severe,62.150000000000006
94,27,77,54,Middle,4,Medium,Yes,8,None,65.15
90,20,77,81,Middle,2,High,Yes,6,None,70.7
76,28,84,92,Low,1,Medium,Yes,6,Mild,69.6
85,23,90,91,Middle,3,Medium,No,7,None,71.05
80,26,93,87,High,2,High,Yes,9,Mild,82.2
86,10,89,69,Middle,0,High,No,9,None,65.2
92,19,94,80,Low,4,High,Yes,7,Severe,71.95
95,21,85,62,Middle,0,Medium,No,9,Mild,61.849999999999994
87,11,100,77,Middle,1,High,Yes,6,Severe,66.25
100,25,84,100,High,4,Medium,Yes,8,None,86.05
70,11,75,96,High,3,High,No,6,Severe,68.55
79,18,79,76,Middle,0,Medium,No,9,None,60.900000000000006
95,20,91,62,High,4,High,No,8,Mild,75.8
90,18,95,96,Low,0,High,No,7,Mild,75.3
87,13,100,90,Low,2,High,No,8,Severe,69.65
75,22,91,99,Low,3,High,Yes,6,Severe,74.4
91,13,75,68,Low,4,High,Yes,9,Severe,64.85
71,29,89,94,Middle,1,High,No,6,None,72.45
82,29,96,69,Low,0,Medium,No,8,None,65.55000000000001
72,21,94,87,Low,0,High,Yes,7,None,72.55
83,11,96,84,Low,2,High,Yes,8,None,73.75
80,28,86,77,Middle,4,Medium,Yes,8,Mild,71.3
72,16,85,75,High,2,High,No,8,None,69.9
93,16,90,93,Low,3,High,No,9,None,78.5
88,29,97,53,Low,3,Medium,Yes,8,Severe,63.150000000000006
88,10,98,78,Low,1,Low,No,9,None,65.1
74,30,85,88,Middle,3,High,No,7,None,73.69999999999999
83,16,86,52,Low,1,Medium,Yes,8,None,58.4
99,16,75,94,Middle,0,Low,No,9,Severe,64.0
96,29,81,97,High,2,Low,No,6,None,76.75
92,11,87,67,High,2,Medium,Yes,8,None,68.65
88,21,100,91,High,0,Low,Yes,9,None,80.15
78,22,78,89,High,3,Low,Yes,8,None,76.4
92,18,95,55,Low,3,Medium,Yes,6,None,64.4
78,28,91,78,Low,1,High,Yes,6,Severe,67.19999999999999
98,12,89,90,Low,4,High,Yes,7,Severe,73.4
80,13,90,63,High,4,High,No,6,Mild,69.15
100,16,89,63,High,3,Low,No,7,None,68.69999999999999
82,16,96,71,High,2,Low,No,6,None,65.9
71,15,99,86,Low,1,Medium,No,7,Severe,58.55
78,29,99,72,High,3,Low,Yes,7,Mild,75.25
89,14,82,59,High,1,High,No,8,Severe,62.400000000000006
92,16,86,92,Low,1,Low,Yes,6,Severe,65.2
91,30,91,95,Middle,1,Medium,Yes,8,None,77.4
87,12,80,84,Low,2,High,Yes,6,Severe,64.60000000000001
72,24,97,89,Middle,2,Medium,No,7,Mild,66.5
81,18,82,92,Middle,1,Medium,Yes,9,Mild,69.7
92,20,100,64,Middle,2,Medium,Yes,9,Severe,62.60000000000001
72,17,83,57,High,3,Medium,Yes,9,Severe,60.349999999999994
87,16,88,64,Low,3,Low,No,8,Severe,58.2
73,21,84,76,High,4,High,No,6,Mild,72.45
88,12,86,60,High,2,Medium,No,7,Mild,60.8
75,28,88,56,Middle,3,High,Yes,9,Mild,69.4
83,18,100,71,Low,4,High,No,6,None,70.4
90,23,93,72,High,3,High,No,8,None,78.95
78,11,99,73,Middle,2,Medium,Yes,6,Severe,58.050000000000004
73,27,85,92,Low,2,High,No,8,Severe,67.95
71,18,91,68,Low,3,Low,No,6,None,60.300000000000004
100,10,76,94,High,3,High,Yes,8,Mild,83.9
94,13,96,88,High,3,High,No,6,Severe,75.65
80,18,78,53,Middle,1,High,Yes,7,None,60.0
87,16,92,99,Middle,1,High,Yes,9,Mild,79.5
95,17,81,90,Middle,0,High,No,7,None,71.45
78,25,87,87,Low,2,High,Yes,8,Mild,75.35
90,10,90,98,High,2,Medium,Yes,8,Mild,77.9
71,26,93,89,High,0,High,Yes,9,Severe,76.0
85,26,85,70,Low,1,Medium,No,9,Severe,58.5
96,14,84,98,Middle,1,Low,No,7,Severe,63.900000000000006
85,25,77,81,High,3,High,No,8,Mild,77.95
80,24,83,82,High,3,High,Yes,9,None,81.2
73,24,88,87,High,1,Low,Yes,7,None,72.3
95,16,89,90,High,3,Medium,No,8,None,77.8
71,20,79,92,High,2,Low,Yes,8,Severe,67.6
74,27,79,96,Low,2,Low,No,9,None,68.15
70,13,86,51,Low,0,Medium,No,9,Mild,51.75
95,14,100,80,Low,0,Medium,No,6,None,66.5
100,23,79,81,Low,1,High,Yes,6,None,73.85
96,17,77,88,Low,0,High,Yes,8,Mild,75.25
84,16,78,86,High,3,Medium,No,6,None,70.2
83,23,96,62,Low,2,Medium,No,6,Severe,55.150000000000006
84,23,100,65,High,4,Medium,No,8,None,72.05
80,23,80,56,High,4,Low,No,6,Mild,62.55
74,13,97,98,Low,1,High,No,9,Severe,68.85
89,30,90,89,Low,1,Low,Yes,9,None,75.0
90,10,95,94,Middle,1,Medium,No,7,None,67.7
94,14,82,53,Low,3,High,Yes,7,Mild,65.6
90,27,88,98,Middle,4,Low,No,7,Severe,69.75
96,23,99,83,High,0,Low,No,9,None,76.65
81,14,76,88,High,3,Medium,Yes,7,None,72.3
72,18,75,84,Low,0,Low,Yes,8,None,64.1
92,12,91,56,High,2,Low,Yes,7,None,64.4
93,13,92,77,High,1,Medium,Yes,8,Severe,68.35
91,10,100,79,High,0,High,Yes,7,Severe,72.4
70,15,82,78,Middle,3,Low,No,6,Mild,60.550000000000004
98,18,91,94,Middle,3,High,No,9,None,80.5
86,16,89,80,High,1,Low,No,6,Severe,63.0
90,15,87,70,Middle,3,High,Yes,6,Mild,71.15
92,16,92,91,Low,0,High,No,7,None,73.10000000000001
83,18,78,56,Low,1,High,No,8,Severe,55.5
80,27,82,80,High,1,Low,No,8,None,70.15
78,14,83,100,Middle,4,Medium,No,8,None,70.7
98,15,88,87,Middle,4,Low,Yes,6,Mild,73.05
92,11,86,79,High,1,High,Yes,9,Severe,72.05
100,28,78,67,High,1,High,Yes,9,Severe,72.7
74,21,80,60,Low,3,High,Yes,7,None,65.05
91,17,85,99,Low,4,Medium,No,7,Mild,72.15
86,24,80,52,Middle,4,High,No,8,Mild,64.80000000000001
85,10,86,100,Low,2,Medium,No,7,None,66.7
86,18,89,69,Middle,1,Low,Yes,7,Severe,58.2
72,26,84,75,Middle,4,Low,No,8,None,65.2
91,29,79,56,High,1,Medium,Yes,8,Severe,63.05
83,26,100,58,Low,4,Low,Yes,9,Severe,63.5
85,18,93,54,Low,2,Low,Yes,9,None,61.3
81,27,99,69,Middle,4,Low,No,8,None,68.45
100,18,91,97,Middle,4,Medium,No,8,None,76.8
74,15,95,53,High,2,High,Yes,7,None,66.44999999999999
86,25,78,97,Low,0,Medium,Yes,6,None,71.14999999999999
80,26,88,81,Low,2,Low,Yes,8,Severe,64.4
86,22,76,95,Low,1,Low,No,6,None,66.4
74,22,96,60,High,1,Low,No,9,Severe,59.5
96,23,100,80,Middle,0,Low,No,8,Mild,70.95
73,16,96,93,Middle,3,High,Yes,9,None,78.7
80,22,92,65,High,4,Medium,Yes,8,None,72.4
78,13,93,74,Low,0,Low,Yes,7,Mild,62.650000000000006
97,24,100,95,High,0,Medium,Yes,7,Mild,81.9
90,20,81,84,High,4,Medium,No,6,Mild,72.4
93,12,86,90,High,2,High,Yes,9,None,80.8
86,12,89,57,Low,2,Low,Yes,9,Severe,55.099999999999994
82,26,90,72,Low,4,Medium,No,6,None,65.5
70,13,99,100,Middle,0,Medium,No,9,None,69.05
96,29,75,53,High,4,Low,Yes,6,Severe,63.349999999999994
83,19,95,61,Low,0,High,Yes,6,None,66.65
89,14,86,83,High,0,High,Yes,7,None,76.4
89,30,94,85,Low,0,Low,Yes,6,None,72.6
89,23,83,88,High,3,High,Yes,9,Severe,79.55000000000001
79,24,76,92,Low,1,Medium,Yes,7,Mild,67.6
71,18,97,82,Middle,4,High,No,6,Mild,70.7
95,11,75,87,Middle,3,Medium,Yes,7,None,68.85
92,18,94,87,Middle,0,Medium,No,7,Mild,67.8
96,30,95,85,High,0,High,Yes,9,Mild,86.2
72,25,89,59,Low,1,Medium,Yes,6,Severe,54.150000000000006
98,20,85,54,High,1,Medium,No,6,Severe,57.8
94,12,90,63,Low,1,High,No,7,Severe,58.699999999999996
72,28,100,97,High,1,Medium,No,7,Severe,70.5
82,20,85,50,Low,3,Low,No,8,Severe,53.400000000000006
86,24,84,79,High,4,High,No,8,Severe,73.7
77,29,78,53,Middle,0,High,Yes,9,None,64.15
76,25,100,65,Low,3,High,Yes,9,None,73.95
81,27,90,96,Low,1,Low,Yes,7,Severe,67.75
76,28,85,68,Low,1,Medium,No,9,Mild,61.6
81,22,94,69,Low,4,Medium,Yes,8,Severe,64.2
80,10,87,69,High,4,Low,Yes,6,Mild,67.60000000000001
96,28,81,60,Middle,1,Low,Yes,7,Mild,63.400000000000006
95,26,89,62,Middle,0,High,No,8,Mild,68.89999999999999
85,19,81,79,Low,3,High,Yes,9,Mild,74.65
92,19,90,99,High,0,Low,No,8,Severe,72.85000000000001
82,27,100,59,Low,3,High,Yes,7,Mild,71.85000000000001
97,24,90,90,Middle,0,Medium,No,6,Mild,70.4
95,23,90,82,Low,0,Low,Yes,8,None,72.35
78,21,83,100,Middle,0,High,No,6,Severe,67.45
81,29,85,75,High,0,Medium,Yes,7,Mild,70.95
82,28,82,55,Low,0,Medium,No,9,None,58.300000000000004
85,30,91,79,Middle,4,Low,No,8,Severe,66.4
78,14,81,59,High,1,High,No,6,Severe,58.0
98,22,99,97,High,1,High,No,8,None,86.0
